State_Name,District_Name,Crop_Year,Season,Crop,Area,Production,pct_production_all_Over_India
Andhra Pradesh,ANANTAPUR,2013,Kharif     ,Arecanut,453,186,0.000106855
Andhra Pradesh,ANANTAPUR,2013,Kharif     ,Arhar/Tur,49932,9287,0.005335258
Andhra Pradesh,ANANTAPUR,2013,Kharif     ,Bajra,1332,1227,0.000704895
Andhra Pradesh,ANANTAPUR,2013,Kharif     ,Brinjal,407,8624,0.004954373
Andhra Pradesh,ANANTAPUR,2013,Kharif     ,Cabbage,2,38,2.18E-05
Andhra Pradesh,ANANTAPUR,2013,Kharif     ,Castor seed,11416,5366,0.003082696
Andhra Pradesh,ANANTAPUR,2013,Kharif     ,Cotton(lint),37661,77316,0.044417014
Andhra Pradesh,ANANTAPUR,2013,Kharif     ,Cowpea(Lobia),527,253,0.000145345
Andhra Pradesh,ANANTAPUR,2013,Kharif     ,Dry chillies,2647,3965,0.00227784
Andhra Pradesh,ANANTAPUR,2013,Kharif     ,Grapes,247,5644,0.003242403
Andhra Pradesh,ANANTAPUR,2013,Kharif     ,Groundnut,711145,286591,0.16464272
Andhra Pradesh,ANANTAPUR,2013,Kharif     ,Horse-gram,2317,1353,0.000777281
Andhra Pradesh,ANANTAPUR,2013,Kharif     ,Jowar,14486,9749,0.005600671
Andhra Pradesh,ANANTAPUR,2013,Kharif     ,Lemon,391,2003,0.001150697
Andhra Pradesh,ANANTAPUR,2013,Kharif     ,Linseed,7,3,1.72E-06
Andhra Pradesh,ANANTAPUR,2013,Kharif     ,Maize,27087,53226,0.030577629
Andhra Pradesh,ANANTAPUR,2013,Kharif     ,Moong(Green Gram),481,534,0.000306776
Andhra Pradesh,ANANTAPUR,2013,Kharif     ,Onion,1414,31097,0.017864813
Andhra Pradesh,ANANTAPUR,2013,Kharif     ,Other Kharif pulses,62,18,1.03E-05
Andhra Pradesh,ANANTAPUR,2013,Kharif     ,Papaya,230,22418,0.012878843
Andhra Pradesh,ANANTAPUR,2013,Kharif     ,Pome Granet,1450,23722,0.013627974
Andhra Pradesh,ANANTAPUR,2013,Kharif     ,Ragi,2055,3163,0.001817101
